Parameter,Value
Acc_low_X_bias,-2.928333415
Acc_low_X_scale,0.00228057564
Acc_low_Y_bias,-2.825661092
Acc_low_Y_scale,0.00245345985
Acc_low_Z_bias,-4.939015739
Acc_low_Z_scale,0.00381845337
Gyro_low_X_bias,494.14215
Gyro_low_X_scale,11.61589126
Gyro_low_Y_bias,-484.7349167
Gyro_low_Y_scale,13.80453032
Gyro_low_Z_bias,315.24185
Gyro_low_Z_scale,13.63096867
Acc_X_bias,-26.08687019
Acc_X_scale,0.0246565131
Acc_Y_bias,27.1129682
Acc_Y_scale,0.0234775206
Acc_Z_bias,0
Acc_Z_scale,0
Gyro_X_bias,286.8432499
Gyro_X_scale,109.710359
Gyro_Y_bias,-280.9037095
Gyro_Y_scale,107.6181058
Gyro_Z_bias,182.2741741
Gyro_Z_scale,70.03714136
Euler_X_bias,-20.56760613
Euler_X_scale,0.589773152
Euler_Y_bias,21.69869386
Euler_Y_scale,0.578641276
Euler_Z_bias,0
Euler_Z_scale,0
